Periodo,Monto,Iniciales,Lat,Lng
2017,15978420,BCN,30.2822994,-120.0291478
2016,16500000,BCS,25.3674357,-116.8183478
2017,29404965,BCS,25.3674357,-116.8183478
2017,3670000,CAM,19.318247,-93.0406091
2017,3390000,CAM,19.318247,-93.0406091
2016,3100000,CHI,28.6708592,-106.2047084
2017,795000,CHI,28.6708592,-106.2047084
2016,12000000,CHS,16.2468647,-94.5004081
2017,10000000,COA,27.1394513,-106.4009018
2017,14200000,COA,27.1394513,-106.4009018
2017,16800000,DGO,37.2725268,-107.9374006
2016,35000000,MEX,19.3229759,-100.7266311
2016,14456580,MEX,19.3229759,-100.7266311
2016,15000000,MEX,19.3229759,-100.7266311
2016,80000000,MEX,19.3229759,-100.7266311
2016,15000000,MEX,19.3229759,-100.7266311
2016,2706554,GTO,21.0251042,-101.2929
2017,1346000,JAL,20.82343,-105.8485043
2016,3984000,HGO,20.4945384,-100.0438771
2016,19999537,JAL,20.82343,-105.8485043
2016,4066000,JAL,20.82343,-105.8485043
2016,50000000,QRO,20.6121228,-100.4802589
2017,14276249,JAL,20.82343,-105.8485043
2017,12886000,JAL,20.82343,-105.8485043
2015,16000000,MIC,19.1410927,-104.1461872
2016,2000000,MOR,18.6380463,-98.967177
2017,1195000,MOR,18.6380463,-98.967177
2017,2000000,PUE,19.0399944,-98.3330565
2017,11000000,CDMX,19.390519,-99.4238271
2016,50000000,QRO,20.6121228,-100.4802589
2016,9999993,QRO,20.6121228,-100.4802589
2016,9000000,QRO,20.6121228,-100.4802589
2016,18000000,QRO,20.6121228,-100.4802589
2016,17999999,QRO,20.6121228,-100.4802589
2016,10000000,QRO,20.6121228,-100.4802589
2016,18000000,QRO,20.6121228,-100.4802589
2016,5000000,QRO,20.6121228,-100.4802589
2016,11707759,QUI,19.7357501,-90.2490647
2016,7203310,SIN,24.7379901,-109.6652912
2016,17705500,SNL,22.8101059,-102.5564382
2016,12811468,SON,29.3199116,-116.2371951
2016,9995860,YUC,21.0677185,-92.175243
2017,9710729,JAL,20.82343,-105.8485043
